,precision,recall,f1-score,support
ai,0.7861675126903553,0.8298727394507702,0.8074291300097751,1493.0
human,0.8216292134831461,0.7763769077637691,0.7983623336745138,1507.0
accuracy,0.803,0.803,0.803,0.803
macro avg,0.8038983630867507,0.8031248236072697,0.8028957318421445,3000.0
weighted avg,0.8039811070552672,0.803,0.8028745759840288,3000.0
