Caratteristica,Peso
83.00 < numero_token <= 134.25,0.00018449237613563893
numero_verbi > 19.00,0.00016616780543896137
lunghezza_frasi > 1.00,4.823949369584929e-05
TTR > 0.84,-2.5909770611204116e-05
0.86 < TTR verbi <= 1.00,2.2914072776955026e-05
